epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,26396.6,1.00753,0.88338,0.95749,0.82806,0.88727,0.91312,0.67739,0.92556,0.59551,0.95494,0.000105528,0.000105528,0.000105528
71,26734.7,1.01356,0.87601,0.96446,0.86586,0.86674,0.91796,0.67982,0.92397,0.5872,0.95207,0.000102231,0.000102231,0.000102231
72,27074.3,0.9913,0.86178,0.9522,0.83509,0.90401,0.91645,0.67616,0.93328,0.5855,0.9543,9.89343e-05,9.89343e-05,9.89343e-05
73,27416.8,0.98725,0.87166,0.95326,0.84151,0.8866,0.91679,0.67469,0.93807,0.58502,0.95843,9.56376e-05,9.56376e-05,9.56376e-05
74,27785.9,0.98346,0.84725,0.95306,0.82961,0.89004,0.91274,0.67631,0.92154,0.58773,0.95216,9.23409e-05,9.23409e-05,9.23409e-05
75,28122.8,0.99104,0.86602,0.95703,0.86262,0.86945,0.9173,0.67866,0.92489,0.58811,0.95252,8.90442e-05,8.90442e-05,8.90442e-05
76,28472.6,0.99006,0.87623,0.9577,0.83053,0.89556,0.91406,0.67866,0.92495,0.5855,0.95583,8.57475e-05,8.57475e-05,8.57475e-05
77,28809.8,0.98228,0.85311,0.95226,0.85571,0.87078,0.91733,0.68495,0.91548,0.58606,0.95136,8.24508e-05,8.24508e-05,8.24508e-05
78,29156.3,0.98682,0.84634,0.95112,0.83604,0.87645,0.91014,0.67758,0.92259,0.59449,0.95561,7.91541e-05,7.91541e-05,7.91541e-05
79,29496.5,0.98166,0.851,0.94552,0.86875,0.86082,0.91574,0.67883,0.92521,0.58162,0.95419,7.58574e-05,7.58574e-05,7.58574e-05
80,29833.2,0.98272,0.84399,0.94885,0.83644,0.88055,0.91872,0.68628,0.91193,0.57668,0.94797,7.25607e-05,7.25607e-05,7.25607e-05
81,30167.5,0.97717,0.84308,0.94986,0.85215,0.87656,0.91696,0.68534,0.90911,0.57589,0.94855,6.9264e-05,6.9264e-05,6.9264e-05
82,30502.3,0.97357,0.83145,0.94937,0.83576,0.88387,0.91822,0.684,0.91617,0.57529,0.95195,6.59673e-05,6.59673e-05,6.59673e-05
83,30838.3,0.98606,0.8426,0.9485,0.86136,0.86693,0.91729,0.68301,0.90807,0.5822,0.94311,6.26706e-05,6.26706e-05,6.26706e-05
84,31172.3,0.97349,0.84006,0.94707,0.84126,0.88019,0.91589,0.68173,0.91241,0.57928,0.94713,5.93739e-05,5.93739e-05,5.93739e-05
85,31507.4,0.97183,0.82987,0.94699,0.83371,0.89105,0.9165,0.68527,0.90193,0.57268,0.94499,5.60772e-05,5.60772e-05,5.60772e-05
86,31844.3,0.96505,0.82266,0.94573,0.86509,0.86699,0.91502,0.68182,0.91055,0.57391,0.95007,5.27805e-05,5.27805e-05,5.27805e-05
87,32179.9,0.96392,0.82605,0.94564,0.86036,0.88169,0.91883,0.68718,0.90058,0.56859,0.94371,4.94838e-05,4.94838e-05,4.94838e-05
88,32514.4,0.97501,0.83264,0.95164,0.84178,0.88373,0.91754,0.6855,0.90655,0.56947,0.9483,4.61871e-05,4.61871e-05,4.61871e-05
89,32850.1,0.96384,0.82791,0.94214,0.84934,0.87246,0.91598,0.68494,0.89879,0.57117,0.94418,4.28904e-05,4.28904e-05,4.28904e-05
90,33183.1,0.96616,0.8139,0.94945,0.85614,0.87202,0.91622,0.68421,0.90136,0.57372,0.94469,3.95937e-05,3.95937e-05,3.95937e-05
91,33511.7,0.93438,0.73644,0.95225,0.86214,0.86295,0.91378,0.68018,0.90905,0.59069,0.94867,3.6297e-05,3.6297e-05,3.6297e-05
92,33842,0.91649,0.70935,0.94549,0.83528,0.88637,0.91801,0.68156,0.9126,0.58255,0.94925,3.30003e-05,3.30003e-05,3.30003e-05
93,34169.7,0.92089,0.72079,0.94831,0.81926,0.89895,0.91673,0.68397,0.89957,0.58105,0.94377,2.97036e-05,2.97036e-05,2.97036e-05
94,34497.5,0.90952,0.70917,0.94525,0.84222,0.88462,0.91787,0.6856,0.89858,0.57735,0.94315,2.64069e-05,2.64069e-05,2.64069e-05
95,34841.2,0.90331,0.6996,0.94085,0.83755,0.89521,0.91988,0.68633,0.89856,0.57394,0.94264,2.31102e-05,2.31102e-05,2.31102e-05
96,35170.5,0.91211,0.70566,0.94096,0.8436,0.89611,0.92315,0.68973,0.89645,0.57181,0.94368,1.98135e-05,1.98135e-05,1.98135e-05
97,35500.2,0.90063,0.69391,0.93918,0.85803,0.88026,0.92114,0.68825,0.89546,0.57009,0.94231,1.65168e-05,1.65168e-05,1.65168e-05
98,35830.1,0.90452,0.70011,0.94098,0.84662,0.88622,0.91886,0.68739,0.897,0.57139,0.94292,1.32201e-05,1.32201e-05,1.32201e-05
99,36159.8,0.89221,0.69161,0.93439,0.84144,0.89289,0.92083,0.6897,0.89118,0.568,0.94097,9.9234e-06,9.9234e-06,9.9234e-06
100,36492.7,0.90063,0.69947,0.93952,0.83413,0.89833,0.92184,0.69054,0.8916,0.56771,0.94115,6.6267e-06,6.6267e-06,6.6267e-06
